id,verbo
0,abandonar
1,abjurar
2,ablandar
3,ablandarse
4,abochornar
5,abofetear
6,abolir
7,abonarse
8,abordar
9,abortar
10,abovedar
11,abrasar
12,abrazar
13,abreviar
14,abrir
15,abrochar
16,abrumar
17,absorber
18,abuchear
19,abundar
20,aburrir
21,aburrirse
22,abusar
23,acabar
24,acallar
25,acampar
26,acaparar
27,acariciar
28,acceder
29,accionar
30,acechar
31,aceitar
32,acelerar
33,acentuar
34,acepillar
35,aceptar
36,acerar
37,acercar
38,achatar
39,acicalar
40,aclamar
41,aclarar
42,aclimatar
43,acoger
44,acolchar
45,acometer
46,acomodar
47,acompañar
48,aconsejar
49,acoplar
50,acordar
51,acorralar
52,acosar
53,acostar
54,acostarse
55,acotar
56,acreditar
57,acribillar
58,activar
59,actuar
60,acuartelar
61,acumular
62,acunar
63,acusar
64,acuñar
65,adaptar
66,adecentar
67,adelantar
68,adherir
69,adiestrar
70,adivinar
71,adjuntar
72,administrar
73,admirar
74,admitir
75,adobar
76,adoptar
77,adorar
78,adornar
79,adular
80,adulterar
81,afectar
82,afeitar
83,afeitarse
84,afilar
85,afinar
86,afirmar
87,agarrar
88,agitar
89,agorar
90,agriar
91,ahogar
92,alargar
93,alegrar
94,alimentar
95,aliviar
96,alquilar
97,amar
98,amenazar
99,ampliar
100,andar
101,animar
102,anticipar
103,apagar
104,aparcar
105,aparecer
106,aplaudir
107,aplicar
108,apostar
109,apoyar
110,aprender
111,aprovechar
112,apuntar
113,arder
114,arreglar
115,arrepentir
116,arriesgar
117,arrojar
118,asegurar
119,asentir
120,asesinar
121,asistir
122,asolar
123,atacar
124,atender
125,atenuar
126,aterrar
127,aterrizar
128,atracar
129,atrapar
130,aumentar
131,avanzar
132,avisar
133,ayudar
134,añadir
135,aflojar
136,afrentar
137,afrontar
138,agenciar
139,agotar
140,agradar
141,agradecer
142,agrandar
143,agravar
144,agraviar
145,agrietar
146,aguantar
147,aguardar
148,aguijar
149,agujerear
150,ahondar
151,ahorrar
152,airear
153,ajustar
154,ajusticiar
155,alabar
156,alabear
157,alancear
158,alarmar
159,alcanzar
160,alear
161,alegrarse
162,alejar
163,alertar
164,alfombrar
165,aligerar
166,alisar
167,alistar
168,allanar
169,almacenar
170,almorzar
171,alojar
172,alquitranar
173,alterar
174,alucinar
175,alumbrar
176,amainar
177,amamantar
178,amarrar
179,amasar
180,ambicionar
181,amonestar
182,amotinar
183,ampollar
184,amputar
185,amueblar
186,anclar
187,anestesiar
188,anexar
189,angostar
190,anhelar
191,anidar
192,aniquilar
193,anotar
194,anular
195,anunciar
196,apadrinar
197,aparear
198,aparejar
199,aparentar
200,apartar
201,apedrear
202,apelar
203,apestar
204,apisonar
205,aplanar
206,aplastar
207,apocopar
208,apoderar
209,aportar
210,apoyarse
211,apreciar
212,aprehender
213,apremiar
214,apresurar
215,aproximar
216,apurarse
217,apuñalar
218,aquejar
219,aquietar
220,arañar
221,arbitrar
222,archivar
223,armar
224,arponear
225,arquear
226,arrasar
227,arrastrar
228,arrastrarse
229,arrear
230,arrebatar
231,arrestar
232,arribar
233,arrodillarse
234,arruinar
235,arrullar
236,articular
237,asaltar
238,asar
239,asediar
240,asesorar
241,asfixiar
242,asignar
243,asimilar
244,asociar
245,asolear
246,asombrar
247,aspirar
248,asquear
249,astillar
250,asumir
251,asustar
252,atajar
253,atar
254,atontar
255,atornillar
256,atrasar
257,atrever
258,atreverse
259,atrincherar
260,atropellar
261,aturdir
262,augurar
263,auscultar
264,auspiciar
265,aventajar
266,aventurar
267,averiguar
268,avistar
269,avivar
270,abastecer
271,abogar
272,abonar
273,aborrecer
274,abrigar
275,acertar
276,acortar
277,acostumbrar
278,acrecentar
279,actualizar
280,acudir
281,adelgazar
282,adquirir
283,advertir
284,afligir
285,agilizar
286,agobiar
287,agregar
288,aguar
289,agudizar
290,aislar
291,alentar
292,alinear
293,aludir
294,alzar
295,amanecer
296,analizar
297,ansiar
298,apaciguar
299,apetecer
300,aplazar
301,apretar
302,aprobar
303,apurar
304,argumentar
305,arrancar
306,ascender
307,asentar
308,asir
309,asomar
310,atestiguar
311,atraer
312,atravesar
313,atribuir
314,aunar
315,autorizar
316,auxiliar
317,aventar
318,avergonzar
319,averiar
320,ayunar
321,azotar
322,azucarar
323,babear
324,bailar
325,bajar
326,bajarse
327,balancear
328,balar
329,balbucear
330,baldar
331,bambolear
332,barajar
333,baratar
334,barrer
335,barritar
336,basar
337,bastar
338,batallar
339,batear
340,batir
341,bautizar
342,bañar
343,bañarse
344,beber
345,bendecir
346,beneficiar
347,besar
348,birlar
349,biselar
350,blandir
351,blanquear
352,blasonar
353,bloquear
354,boicotear
355,bombardear
356,bombear
357,boquear
358,bordar
359,bordear
360,borrar
361,bostezar
362,botar
363,boxear
364,bramar
365,brillar
366,brincar
367,brindar
368,bromear
369,broncear
370,brotar
371,bucear
372,bufar
373,bullir
374,burbujear
375,burlar
376,burlarse
377,buscar
378,cabalgar
379,caber
380,cacarear
381,caer
382,caerse
383,calcular
384,caldear
385,calentar
386,calibrar
387,callar
388,callarse
389,calmar
390,calumniar
391,cambiar
392,caminar
393,camuflar
394,cancelar
395,canjear
396,cansar
397,cansarse
398,cantar
399,capitular
400,captar
401,capturar
402,cardar
403,carenar
404,cargar
405,carretear
406,casar
407,casarse
408,castigar
409,castrar
410,catar
411,causar
412,cavar
413,cazar
414,cebar
415,cecear
416,ceder
417,cegar
418,celar
419,celebrar
420,cementar
421,cenar
422,censurar
423,centrar
424,cepillar
425,cepillarse
426,cercenar
427,cerrar
428,cesar
429,chapalear
430,charlar
431,chequear
432,chillar
433,chismear
434,chismorrear
435,chispear
436,chorrear
437,chupar
438,cincelar
439,circuir
440,circundar
441,circunscribir
442,citar
443,clasificar
444,clausurar
445,clavar
446,clavetear
447,cloquear
448,coaccionar
449,coagular
450,cobrar
451,cocear
452,cocer
453,cocinar
454,codiciar
455,coexistir
456,coger
457,coincidir
458,cojear
459,colaborar
